acs_occ_code,n_soc6_mapped,acs_occ_title,soc_major,soc_major_nunique,llm_exposure_main,llm_exposure_model_robustness,complementarity_theta,complementarity_no_jobzone,m_index,m_no_jobzone,m_average_of_detail_products,m_no_jobzone_average_of_detail_products,annual_mean_wage,annual_median_wage,mapping_rows,llm_exposure_main_oews_weighted,complementarity_theta_oews_weighted,complementarity_no_jobzone_oews_weighted,m_index_oews_weighted,m_no_jobzone_oews_weighted
10,2,Chief executives and legislators,11,1,0.4430555555555555,0.4538888888888889,0.7236458333333333,0.6683749999999999,0.2673469328703703,0.24692743055555547,0.2665482253086419,0.2459689814814814,135065.0,108395.0,2.0,0.3962312355200101,0.7236458333333333,0.6683749999999999,0.2673469328703703,0.24692743055555547
1005,1,Computer and information research scientists,15,1,0.5,0.6346153846153847,0.6016666666666667,0.522,0.30083333333333334,0.261,0.30083333333333334,0.261,142650.0,131490.0,1.0,0.5,0.6016666666666667,0.522,0.30083333333333334,0.261
1006,1,Computer systems analysts,15,1,0.553475935828877,0.6174242424242424,0.6016319444444445,0.5619583333333333,0.33298880347593585,0.31103041443850266,0.3363992869875223,0.3151229946524064,102210.0,99270.0,1.0,0.553475935828877,0.6016319444444445,0.5619583333333333,0.33298880347593585,0.31103041443850266
1007,1,Information security analysts,15,1,0.5434782608695652,0.6521739130434783,0.579861111111111,0.5358333333333333,0.31514190821256033,0.29121376811594196,0.31514190821256033,0.29121376811594196,113270.0,102600.0,1.0,0.5434782608695652,0.579861111111111,0.5358333333333333,0.31514190821256033,0.29121376811594196
101,1,Administrative services managers,11,1,0.5,0.3913043478260869,0.6192361111111111,0.6230833333333333,0.30961805555555555,0.31154166666666666,0.30961805555555555,0.31154166666666666,113030.0,100170.0,1.0,0.5,0.6192361111111111,0.6230833333333333,0.30961805555555555,0.31154166666666666
1010,1,Computer programmers,15,1,0.6833333333333333,0.95,0.49631944444444437,0.4355833333333333,0.33915162037037033,0.2976486111111111,0.33915162037037033,0.2976486111111111,96650.0,93000.0,1.0,0.6833333333333333,0.4963194444444444,0.4355833333333333,0.33915162037037033,0.2976486111111111
102,1,Facilities managers,11,1,0.4042207792207792,0.40016233766233766,,,,,,,101970.0,97930.0,1.0,0.4042207792207792,,,,
1021,1,Software developers,15,1,0.4473684210526315,0.8684210526315789,,,,,,,120990.0,120730.0,1.0,0.4473684210526315,,,,
1022,1,Software quality assurance analysts and testers,15,1,0.6140350877192982,0.8771929824561403,0.5507638888888889,0.5009166666666667,0.3381883528265107,0.3075804093567251,0.3381883528265107,0.3075804093567251,97710.0,98220.0,1.0,0.6140350877192982,0.5507638888888889,0.5009166666666667,0.3381883528265107,0.3075804093567251
1031,1,Web developers,15,1,0.6346153846153847,0.9326923076923076,0.5196527777777777,0.5035833333333334,0.32977964743589744,0.31958173076923085,0.32977964743589744,0.31958173076923085,81320.0,77030.0,1.0,0.6346153846153847,0.5196527777777777,0.5035833333333334,0.32977964743589744,0.31958173076923085
1032,1,Web and digital interface designers,15,1,0.6333333333333333,0.75,0.5522916666666666,0.50275,0.3497847222222222,0.31840833333333335,0.32217013888888885,0.2932708333333333,95460.0,79890.0,1.0,0.6333333333333333,0.5522916666666666,0.50275,0.3497847222222222,0.31840833333333335
1050,2,Computer support specialists,15,1,0.6025641025641026,0.6228632478632479,0.6061805555555556,0.5874166666666667,0.36544515669515676,0.35545726495726493,0.36544515669515676,0.35545726495726493,64500.0,56265.0,2.0,0.6394668212828138,0.6078196513119783,0.6008972298146119,0.388802527493061,0.38525744041324833
1065,2,Database administrators and architects,15,1,0.6213884517877437,0.9233652417169333,0.5199131944444444,0.4638958333333334,0.3232539438892652,0.2884825803810793,0.32276532153342363,0.2878962335540694,109195.0,110070.0,2.0,0.6149906587467313,0.5179502400573854,0.46154028806886266,0.3187078896844135,0.2840509622218193
