year,acs_occ_code,employment_weight,employment_n,wage_weight,wage_n,weighted_log_wage,weighted_real_wage,mean_log_real_wage_2024,mean_real_wage_2024,acs_occ_title,soc_major,llm_exposure_main,complementarity_theta,complementarity_no_jobzone,m_index,m_no_jobzone,llm_exposure_model_robustness,m_index_oews_weighted,m_model_rated,llm_exposure_main_z,complementarity_theta_z,complementarity_no_jobzone_z,m_index_z,m_no_jobzone_z,m_model_rated_z,m_index_oews_weighted_z,ec_interaction,post,log_employment,employment_share,log_employment_share,balanced_5year,baseline_employment_weight,baseline_wage_weight,llm_exposure_main_z_post,complementarity_theta_z_post,ec_interaction_post,m_index_z_post,m_no_jobzone_z_post,m_model_rated_z_post,m_index_oews_weighted_z_post
2019,10,1251258,13643,1207610.0,13191.0,14481981.648110453,282201643547.1243,11.992267079694978,233686.07708376407,Chief executives and legislators,11.0,0.4430555555555555,0.7236458333333333,0.6683749999999999,0.2673469328703703,0.2469274305555554,0.4538888888888889,0.2673469328703703,0.3284548032407407,0.7430147216114426,1.5390456824371714,0.8082708405986285,0.7649415684270406,0.6782450409944485,1.0067925091810892,0.7470089370982061,1.1435335992833475,0,14.039660003197522,0.008777356345776567,-4.735580016244556,True,1431282,1371321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,1005,34031,321,33610.0,316.0,384441.568955768,4526484605.113075,11.438309103117168,134676.721366054,Computer and information research scientists,15.0,0.5,0.6016666666666667,0.522,0.3008333333333333,0.261,0.6346153846153847,0.3008333333333333,0.3818269230769231,1.0235026200797592,-0.002367536709336563,-0.9728755900646413,1.0415666777683792,0.8019835646074996,1.4244895308843417,1.0233489493445993,-0.0024231800251409835,0,10.435027152899224,0.00023872152170305593,-8.340212866542855,True,32735,32092.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2019,1006,594395,5881,587762.0,5803.0,6705783.01372001,65135898941.676506,11.4090108134245,110820.19412904629,Computer systems analysts,15.0,0.553475935828877,0.6016319444444445,0.5619583333333333,0.3329888034759358,0.3110304144385026,0.6174242424242424,0.3329888034759358,0.37146214751683504,1.2869058898034944,-0.0028063107540694833,-0.4866474582667262,1.3071972119895094,1.2418953833275186,1.3433734744983543,1.2887057177683459,-0.0036114578380309036,0,13.29529936050643,0.00416957711770703,-5.479940658935647,True,589917,582695.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2019,1007,127575,1189,126684.0,1180.0,1470531.2395130447,16859946784.231516,11.607868708858614,133086.63117861384,Information security analysts,15.0,0.5434782608695652,0.579861111111111,0.5358333333333333,0.3151419082125603,0.2912137681159419,0.6521739130434783,0.3151419082125603,0.37817028985507245,1.2376609306812307,-0.27791763680156845,-0.8045463515277206,1.1597672318966943,1.0676498364431388,1.3958722525952987,1.141427682880839,-0.34396780101655744,0,11.756459705932173,0.000894916344840509,-7.018780313509906,True,184698,183372.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2019,101,58177,598,57618.0,592.0,643892.0645387686,5075817313.36855,11.175189429323625,88094.29888869017,Administrative services managers,11.0,0.5,0.6192361111111111,0.6230833333333333,0.3096180555555555,0.3115416666666666,0.3913043478260869,0.3096180555555555,0.24230978260869562,1.0235026200797592,0.21965212992548605,0.2571446891238282,1.1141356822495638,1.246390766786569,0.33261058305536395,1.0958431623059182,0.22481453048483466,0,10.97124536660834,0.00040810149475826996,-7.803994652833738,True,62720,61969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,1010,317844,3091,309566.0,3008.0,3517908.6812200947,33663411023.09697,11.364002123037073,108743.8899074736,Computer programmers,15.0,0.6833333333333333,0.4963194444444443,0.4355833333333333,0.3391516203703703,0.2976486111111111,0.95,0.3391516203703703,0.47150347222222205,1.9265368297826315,-1.3336079884288108,-2.024426315141677,1.3581071298577838,1.1242306886497948,2.1263096498825607,1.3395631665396437,-2.5692449062004337,0,12.669315975357692,0.002229620150574068,-6.105924044084385,True,269536,262762.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2019,1022,70503,702,70107.0,696.0,791270.8308089131,6659315132.40144,11.286616611877745,94987.87756431512,Software quality assurance analysts and testers,15.0,0.6140350877192982,0.5507638888888889,0.5009166666666667,0.3381883528265107,0.3075804093567251,0.8771929824561403,0.3381883528265107,0.48312621832358676,1.5851985399906363,-0.6456102862876968,-1.2294255740998292,1.3501497505646636,1.2115598758736754,2.2172707442789266,1.3316139883303848,-1.0234204832261937,0,11.163410541086488,0.0004945662321010417,-7.61182947835559,True,83723,83564.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2019,1031,102394,1023,93784.0,932.0,1033374.6928218496,7637537176.233651,11.01866728676373,81437.52853614317,Web developers,15.0,0.6346153846153847,0.5196527777777777,0.5035833333333334,0.3297796474358974,0.3195817307692308,0.9326923076923076,0.3297796474358974,0.48467614850427343,1.686569697134316,-1.0387518303683332,-1.196976564261386,1.28068695325176,1.3170861480197613,2.2294006956900354,1.262222781198748,-1.7519273599420362,0,11.536583396120864,0.000718276027541439,-7.238656623321214,True,102190,93388.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2019,1032,70739,704,62494.0,626.0,679470.9913453546,4790886652.873877,10.872579629170074,76661.54595439364,Web and digital interface designers,15.0,0.6333333333333333,0.5522916666666666,0.50275,0.3497847222222222,0.3184083333333333,0.75,0.3497847222222222,0.41421874999999997,1.680254772590939,-0.6263042283194525,-1.2071168798358998,1.4459452647943645,1.3067685960686062,1.6779921025420652,1.427310773189926,-1.0523506687276452,0,11.166752326385875,0.000496221730885148,-7.608487693056203,True,65449,56656.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2019,1050,645956,6139,633904.0,6012.0,6963600.153440816,49389812035.859795,10.985259839724653,77913.70938795117,Computer support specialists,15.0,0.6025641025641026,0.6061805555555556,0.5874166666666667,0.3654451566951567,0.3554572649572649,0.6228632478632479,0.388802527493061,0.37756758962488135,1.528696583549898,0.054673089105934665,-0.17686081746534285,1.5753132869919066,1.6325356934479651,1.3911554436714,1.7492976286686572,0.08357856452836147,0,13.37848666898994,0.004531268527907473,-5.396753350452138,True,676629,663380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
