model,fe_type,outcome,year,reference_year,contrast,coefficient,standard_error,p_value,ci_low,ci_high
wage_basic_category_event_study,basic,mean_log_real_wage_2024,2019,2022,HEHC_minus_HELC,0.022789366033600055,0.007723385286275574,0.0033202488551058117,0.007614855499791261,0.03796387656740885
wage_basic_category_event_study,basic,mean_log_real_wage_2024,2021,2022,HEHC_minus_HELC,0.02366580457309779,0.006771615725475142,0.0005167514712716807,0.010361281964375321,0.03697032718182026
wage_basic_category_event_study,basic,mean_log_real_wage_2024,2022,2022,HEHC_minus_HELC,0.0,0.0,,0.0,0.0
wage_basic_category_event_study,basic,mean_log_real_wage_2024,2023,2022,HEHC_minus_HELC,-0.004369995682465273,0.006618094777201304,0.5093606754339488,-0.017372888220902195,0.008632896855971647
wage_basic_category_event_study,basic,mean_log_real_wage_2024,2024,2022,HEHC_minus_HELC,-0.0007643383979669682,0.006957721935109206,0.9125689583757967,-0.01443451292405755,0.012905836128123613
employment_basic_category_event_study,basic,log_employment,2019,2022,HEHC_minus_HELC,-0.09804164578745393,0.028174363689132138,0.0005458988393526298,-0.15339718778583367,-0.04268610378907419
employment_basic_category_event_study,basic,log_employment,2021,2022,HEHC_minus_HELC,-0.03660438430240004,0.016710477458423474,0.028951424686140433,-0.06943627172208118,-0.003772496882718898
employment_basic_category_event_study,basic,log_employment,2022,2022,HEHC_minus_HELC,0.0,0.0,,0.0,0.0
employment_basic_category_event_study,basic,log_employment,2023,2022,HEHC_minus_HELC,-0.0032983339311765027,0.013928538813593926,0.8129064058462079,-0.030664411255200384,0.024067743392847382
employment_basic_category_event_study,basic,log_employment,2024,2022,HEHC_minus_HELC,0.015749045589381616,0.019845671001655324,0.427821092032395,-0.023242708997853828,0.05474080017661706
wage_soc_year_category_event_study,soc_year,mean_log_real_wage_2024,2019,2022,HEHC_minus_HELC,0.022901150942515935,0.012782279663767783,0.07380006826620493,-0.002212815306016188,0.04801511719104806
wage_soc_year_category_event_study,soc_year,mean_log_real_wage_2024,2021,2022,HEHC_minus_HELC,0.00997204064267276,0.012835407577445427,0.43757761353561997,-0.01524630860060315,0.03519038988594867
wage_soc_year_category_event_study,soc_year,mean_log_real_wage_2024,2022,2022,HEHC_minus_HELC,0.0,0.0,,0.0,0.0
wage_soc_year_category_event_study,soc_year,mean_log_real_wage_2024,2023,2022,HEHC_minus_HELC,0.003989940812458192,0.008635470295422715,0.6442541471227883,-0.012976587478593028,0.02095646910350941
wage_soc_year_category_event_study,soc_year,mean_log_real_wage_2024,2024,2022,HEHC_minus_HELC,0.011221120827620293,0.009236388574925222,0.22498801239088254,-0.006926060819993855,0.02936830247523444
employment_soc_year_category_event_study,soc_year,log_employment,2019,2022,HEHC_minus_HELC,-0.0723135159856098,0.02842787103751824,0.011268548848419954,-0.12816713619527847,-0.016459895775941133
employment_soc_year_category_event_study,soc_year,log_employment,2021,2022,HEHC_minus_HELC,-0.03282497292011342,0.018338291976700415,0.07406754448363957,-0.06885510665784045,0.0032051608176136143
employment_soc_year_category_event_study,soc_year,log_employment,2022,2022,HEHC_minus_HELC,0.0,0.0,,0.0,0.0
employment_soc_year_category_event_study,soc_year,log_employment,2023,2022,HEHC_minus_HELC,-0.02927302172168869,0.015540040285231291,0.060186951861207295,-0.05980529432798895,0.0012592508846115714
employment_soc_year_category_event_study,soc_year,log_employment,2024,2022,HEHC_minus_HELC,-0.02428227499150165,0.019285614848674627,0.20858979414801845,-0.06217366002860827,0.013609110045604965
