model,window_years,fe_type,outcome,term,coefficient,standard_error,p_value,ci_low,ci_high,occupation_year_cells,occupation_clusters,r_squared,weight_col
wage_extended_basic_categories,"2019,2021,2022,2023,2024",basic,mean_log_real_wage_2024,helc_post,-0.0038668091658162,0.007781061787560012,0.6194431081925953,-0.019154639525563136,0.011421021193930736,2490,498,0.9971396929308327,baseline_wage_weight
wage_extended_basic_categories,"2019,2021,2022,2023,2024",basic,mean_log_real_wage_2024,hehc_post,-0.02191903307492023,0.0063380704877035315,0.0005902635643178115,-0.03437174827878119,-0.009466317871059268,2490,498,0.9971396929308327,baseline_wage_weight
employment_extended_basic_categories,"2019,2021,2022,2023,2024",basic,log_employment,helc_post,0.012481669736473924,0.01749735423050873,0.47596642249866916,-0.021896232730266356,0.046859572203214205,2490,498,0.9940555943355163,none
employment_extended_basic_categories,"2019,2021,2022,2023,2024",basic,log_employment,hehc_post,0.06358903559553525,0.014925009866868053,2.4397747329358093e-05,0.03426514315105976,0.09291292804001074,2490,498,0.9940555943355163,none
wage_extended_soc_year_categories,"2019,2021,2022,2023,2024",soc_year,mean_log_real_wage_2024,helc_post,0.003249271557424711,0.008822538660628515,0.7128122324621881,-0.014084799044820514,0.020583342159669938,2490,498,0.9977041130469866,baseline_wage_weight
wage_extended_soc_year_categories,"2019,2021,2022,2023,2024",soc_year,mean_log_real_wage_2024,hehc_post,-0.00010292815093963488,0.008349062280696474,0.9901687882340653,-0.016506736692122628,0.01630088039024336,2490,498,0.9977041130469866,baseline_wage_weight
employment_extended_soc_year_categories,"2019,2021,2022,2023,2024",soc_year,log_employment,helc_post,-0.020928162305338865,0.02345205474334704,0.3726207387007357,-0.06700555434931289,0.025149229738635162,2490,498,0.9949288347798593,none
employment_extended_soc_year_categories,"2019,2021,2022,2023,2024",soc_year,log_employment,hehc_post,-0.012659647693334051,0.026317968010751647,0.6307091523354841,-0.06436783885625053,0.03904854346958243,2490,498,0.9949288347798593,none
wage_short_basic_categories,"2022,2023,2024",basic,mean_log_real_wage_2024,helc_post,-0.002941110168325302,0.007098321460224318,0.6788047491813103,-0.016887527416464085,0.01100530707981348,1494,498,0.9986648268467003,baseline_wage_weight
wage_short_basic_categories,"2022,2023,2024",basic,mean_log_real_wage_2024,hehc_post,-0.005508277208518226,0.00679501379666165,0.4179632043454358,-0.01885877114516621,0.007842216728129757,1494,498,0.9986648268467003,baseline_wage_weight
employment_short_basic_categories,"2022,2023,2024",basic,log_employment,helc_post,0.007124492597186859,0.01602390106230335,0.6567903918380044,-0.024358444800060094,0.03860742999443381,1494,498,0.9970716211111006,none
employment_short_basic_categories,"2022,2023,2024",basic,log_employment,hehc_post,0.013349848426337331,0.013698150711103878,0.33024618720671084,-0.013563574192720342,0.040263271045395004,1494,498,0.9970716211111006,none
wage_short_soc_year_categories,"2022,2023,2024",soc_year,mean_log_real_wage_2024,helc_post,-0.001682904181703795,0.011508422743261595,0.8837972283335873,-0.024294061811697076,0.02092825344828949,1494,498,0.998784667428626,baseline_wage_weight
wage_short_soc_year_categories,"2022,2023,2024",soc_year,mean_log_real_wage_2024,hehc_post,0.005922626638343115,0.009840980009791372,0.5475597341330763,-0.013412425192742335,0.025257678469428564,1494,498,0.998784667428626,baseline_wage_weight
employment_short_soc_year_categories,"2022,2023,2024",soc_year,log_employment,helc_post,-0.022201642658992715,0.023321581674134645,0.34157065476627657,-0.06802268792111449,0.02361940260312905,1494,498,0.9973136479997502,none
employment_short_soc_year_categories,"2022,2023,2024",soc_year,log_employment,hehc_post,-0.0489792910155941,0.02310528500421525,0.0345153150045314,-0.09437536769535702,-0.0035832143358311697,1494,498,0.9973136479997502,none
