model,window_years,fe_type,outcome,term,coefficient,standard_error,p_value,ci_low,ci_high,occupation_year_cells,occupation_clusters,r_squared,weight_col
wage_extended_basic_joint,"2019,2021,2022,2023,2024",basic,mean_log_real_wage_2024,exposure_z_post,-0.004937709399678096,0.0027400016664197967,0.07213820413166626,-0.01032112387514459,0.0004457050757883975,2490,498,0.9972070597250182,baseline_wage_weight
wage_extended_basic_joint,"2019,2021,2022,2023,2024",basic,mean_log_real_wage_2024,complementarity_z_post,-0.013288158281627577,0.002278890780541415,9.930242533684649e-09,-0.01776560578333073,-0.008810710779924425,2490,498,0.9972070597250182,baseline_wage_weight
wage_extended_basic_joint,"2019,2021,2022,2023,2024",basic,mean_log_real_wage_2024,ec_interaction_post,0.0017301969720061915,0.0023593258760923864,0.4636945370994315,-0.0029052852721686414,0.006365679216181024,2490,498,0.9972070597250182,baseline_wage_weight
wage_extended_basic_exposure_only,"2019,2021,2022,2023,2024",basic,mean_log_real_wage_2024,exposure_z_post,-0.005682653245041519,0.0031964435493741,0.07604725574772615,-0.011962861277249198,0.0005975547871661579,2490,498,0.9971004382548415,baseline_wage_weight
wage_extended_basic_complementarity_only,"2019,2021,2022,2023,2024",basic,mean_log_real_wage_2024,complementarity_z_post,-0.012927730123473032,0.0023586195511378833,6.733775009752713e-08,-0.017561824616672727,-0.008293635630273338,2490,498,0.997189299886196,baseline_wage_weight
employment_extended_basic_joint,"2019,2021,2022,2023,2024",basic,log_employment,exposure_z_post,0.02411063427107225,0.006402259477393626,0.00018576898404037366,0.011531803838706795,0.0366894647034377,2490,498,0.9941890591537308,none
employment_extended_basic_joint,"2019,2021,2022,2023,2024",basic,log_employment,complementarity_z_post,0.03658142216860117,0.00652626659448589,3.4518552579722e-08,0.023758948924847336,0.049403895412355,2490,498,0.9941890591537308,none
employment_extended_basic_joint,"2019,2021,2022,2023,2024",basic,log_employment,ec_interaction_post,0.007388989067093607,0.0068727534920199375,0.28284562991441814,-0.00611424382823428,0.020892221962421492,2490,498,0.9941890591537308,none
employment_extended_basic_exposure_only,"2019,2021,2022,2023,2024",basic,log_employment,exposure_z_post,0.02104690467858669,0.006942768250279776,0.002560523528786958,0.0074061103840335225,0.034687698973139856,2490,498,0.9940202501575127,none
employment_extended_basic_complementarity_only,"2019,2021,2022,2023,2024",basic,log_employment,complementarity_z_post,0.035147134594626525,0.0063428986518187175,4.880389782547755e-08,0.02268493326201383,0.04760933592723922,2490,498,0.9941211276984198,none
wage_extended_soc_year_joint,"2019,2021,2022,2023,2024",soc_year,mean_log_real_wage_2024,exposure_z_post,-0.002644676236587428,0.005325122471731103,0.619661550999734,-0.013107203230378315,0.007817850757203457,2490,498,0.997730172370781,baseline_wage_weight
wage_extended_soc_year_joint,"2019,2021,2022,2023,2024",soc_year,mean_log_real_wage_2024,complementarity_z_post,-0.009860964334708535,0.0027036695883472348,0.0002930397955261447,-0.015172995410151345,-0.004548933259265726,2490,498,0.997730172370781,baseline_wage_weight
wage_extended_soc_year_joint,"2019,2021,2022,2023,2024",soc_year,mean_log_real_wage_2024,ec_interaction_post,-0.0010285367502936953,0.0031220641488480033,0.7419609765273226,-0.007162607958434434,0.005105534457847043,2490,498,0.997730172370781,baseline_wage_weight
wage_extended_soc_year_exposure_only,"2019,2021,2022,2023,2024",soc_year,mean_log_real_wage_2024,exposure_z_post,-0.0025046884797507458,0.005538583408541255,0.6513038724160621,-0.013386612553205434,0.008377235593703942,2490,498,0.997704354967383,baseline_wage_weight
wage_extended_soc_year_complementarity_only,"2019,2021,2022,2023,2024",soc_year,mean_log_real_wage_2024,complementarity_z_post,-0.009975844800880993,0.002701616674926447,0.0002466148028452021,-0.015283842417526389,-0.0046678471842355965,2490,498,0.9977293813875158,baseline_wage_weight
employment_extended_soc_year_joint,"2019,2021,2022,2023,2024",soc_year,log_employment,exposure_z_post,-0.003391692399032859,0.010871964705635341,0.7551965619771889,-0.02475236998196064,0.017968985183894927,2490,498,0.9949455327501866,none
employment_extended_soc_year_joint,"2019,2021,2022,2023,2024",soc_year,log_employment,complementarity_z_post,0.017279181761470728,0.00821354921478715,0.03590289989521287,0.0011416223286630292,0.033416741194278426,2490,498,0.9949455327501866,none
employment_extended_soc_year_joint,"2019,2021,2022,2023,2024",soc_year,log_employment,ec_interaction_post,0.0030240752383713506,0.008045092931477878,0.7071585797825324,-0.012782509945345695,0.018830660422088398,2490,498,0.9949455327501866,none
employment_extended_soc_year_exposure_only,"2019,2021,2022,2023,2024",soc_year,log_employment,exposure_z_post,-0.0033148762950828727,0.01080647775554796,0.7591628993580207,-0.024546888483615033,0.017917135893449287,2490,498,0.9949263036879128,none
employment_extended_soc_year_complementarity_only,"2019,2021,2022,2023,2024",soc_year,log_employment,complementarity_z_post,0.016435242127477115,0.0075332933718070365,0.02960085143295789,0.0016342144190843368,0.03123626983586989,2490,498,0.9949443145950305,none
wage_short_basic_joint,"2022,2023,2024",basic,mean_log_real_wage_2024,exposure_z_post,-0.002045663140894532,0.003053225682264113,0.503168557612993,-0.008044484067249547,0.003953157785460483,1494,498,0.9986707679264699,baseline_wage_weight
wage_short_basic_joint,"2022,2023,2024",basic,mean_log_real_wage_2024,complementarity_z_post,-0.003388046064303097,0.002259350503881863,0.1343616907253909,-0.007827101834529275,0.0010510097059230799,1494,498,0.9986707679264699,baseline_wage_weight
wage_short_basic_joint,"2022,2023,2024",basic,mean_log_real_wage_2024,ec_interaction_post,-0.0005373882427672895,0.002407865744203119,0.8234868676472792,-0.005268239125518898,0.004193462639984319,1494,498,0.9986707679264699,baseline_wage_weight
wage_short_basic_exposure_only,"2022,2023,2024",basic,mean_log_real_wage_2024,exposure_z_post,-0.0018098592844064888,0.0028623932173841744,0.5274889150092963,-0.007433742389951356,0.003814023821138378,1494,498,0.9986633115244499,baseline_wage_weight
wage_short_basic_complementarity_only,"2022,2023,2024",basic,mean_log_real_wage_2024,complementarity_z_post,-0.00349830295444557,0.0022161523061080147,0.11507597861267128,-0.007852485125483881,0.0008558792165927411,1494,498,0.9986690624061915,baseline_wage_weight
employment_short_basic_joint,"2022,2023,2024",basic,log_employment,exposure_z_post,0.007072072060142209,0.006638700135562103,0.28726665312891875,-0.005971304827567624,0.02011544894785204,1494,498,0.9971062152039976,none
employment_short_basic_joint,"2022,2023,2024",basic,log_employment,complementarity_z_post,0.014827120115296384,0.006046067017674783,0.014535133908463055,0.0029481183243521454,0.026706121906240624,1494,498,0.9971062152039976,none
employment_short_basic_joint,"2022,2023,2024",basic,log_employment,ec_interaction_post,-0.00535428853294328,0.006821838641862299,0.4329009972298658,-0.018757486547010316,0.008048909481123755,1494,498,0.9971062152039976,none
employment_short_basic_exposure_only,"2022,2023,2024",basic,log_employment,exposure_z_post,0.008126901325182442,0.006642068547792565,0.22170189557437775,-0.004923093645787354,0.02117689629615224,1494,498,0.997075581500205,none
employment_short_basic_complementarity_only,"2022,2023,2024",basic,log_employment,complementarity_z_post,0.015174567758057853,0.006025940357557483,0.012108418034425505,0.00333510979467626,0.027014025721439447,1494,498,0.997094752155264,none
wage_short_soc_year_joint,"2022,2023,2024",soc_year,mean_log_real_wage_2024,exposure_z_post,-0.0024793431837272072,0.006167818984676863,0.6878711600524706,-0.014597556983046588,0.009638870615592173,1494,498,0.998784033663854,baseline_wage_weight
wage_short_soc_year_joint,"2022,2023,2024",soc_year,mean_log_real_wage_2024,complementarity_z_post,-0.0013113742271644267,0.003452058454131091,0.7041954243715027,-0.008093801289118834,0.005471052834789982,1494,498,0.998784033663854,baseline_wage_weight
wage_short_soc_year_joint,"2022,2023,2024",soc_year,mean_log_real_wage_2024,ec_interaction_post,-0.0019649150408755957,0.003524765159475873,0.5774642655302733,-0.008890192501358415,0.004960362419607223,1494,498,0.998784033663854,baseline_wage_weight
wage_short_soc_year_exposure_only,"2022,2023,2024",soc_year,mean_log_real_wage_2024,exposure_z_post,-0.0015273922315176842,0.005536286033651076,0.7827491339457607,-0.012404802540841885,0.009350018077806516,1494,498,0.9987825590128577,baseline_wage_weight
wage_short_soc_year_complementarity_only,"2022,2023,2024",soc_year,mean_log_real_wage_2024,complementarity_z_post,-0.0014859780270451272,0.003444616455456115,0.6663708369172802,-0.008253783432420173,0.00528182737832992,1494,498,0.998782846052697,baseline_wage_weight
employment_short_soc_year_joint,"2022,2023,2024",soc_year,log_employment,exposure_z_post,-0.012936937995523434,0.011535610788796625,0.2626258476085439,-0.03560151330028921,0.009727637309242348,1494,498,0.9973039073746279,none
employment_short_soc_year_joint,"2022,2023,2024",soc_year,log_employment,complementarity_z_post,-0.0024439377160755055,0.007878677615377482,0.7565416116061036,-0.017923558638196026,0.013035683206045017,1494,498,0.9973039073746279,none
employment_short_soc_year_joint,"2022,2023,2024",soc_year,log_employment,ec_interaction_post,-0.010430837396183352,0.0076848621251126275,0.17529474786434138,-0.02552965960250426,0.004667984810137558,1494,498,0.9973039073746279,none
employment_short_soc_year_exposure_only,"2022,2023,2024",soc_year,log_employment,exposure_z_post,-0.01042491585676977,0.011331509743844004,0.3580224388992697,-0.03268848391642264,0.011838652202883104,1494,498,0.9972968886077906,none
employment_short_soc_year_complementarity_only,"2022,2023,2024",soc_year,log_employment,complementarity_z_post,-0.00012976940269002635,0.007856726403750305,0.9868285831870244,-0.015566261712198357,0.015306722906818306,1494,498,0.9972935081066053,none
