model,outcome,term,coefficient,standard_error,p_value,ci_low,ci_high,occupation_year_cells,occupation_clusters,r_squared,weight_col,scheme,outcome_name,model_type,fdr_family,q_value_bh,reject_fdr_5pct
wage_baseline_within_highE_median_adjusted_category_pooled,mean_log_real_wage_2024,exposure_z_post,0.003267883720099042,0.0074875384104748565,0.6628950628674641,-0.011479389638762466,0.01801515707896055,747,249,0.9989427668237365,baseline_wage_weight,baseline_within_highE_median,wage,pooled,other,0.9538819774702559,False
wage_baseline_within_highE_median_adjusted_category_pooled,mean_log_real_wage_2024,high_c_post,0.011219632690126456,0.009730555383500622,0.25000774201083326,-0.007945432289476698,0.03038469766972961,747,249,0.9989427668237365,baseline_wage_weight,baseline_within_highE_median,wage,pooled,other,0.9538819774702559,False
wage_baseline_within_highE_median_adjusted_category_dynamic,mean_log_real_wage_2024,exposure_z_y2023,0.005057871445647061,0.00757734316655966,0.5050738832505876,-0.009866279174378906,0.019982022065673028,747,249,0.99894466632594,baseline_wage_weight,baseline_within_highE_median,wage,dynamic,other,0.9538819774702559,False
wage_baseline_within_highE_median_adjusted_category_dynamic,mean_log_real_wage_2024,exposure_z_y2024,0.001477895994558373,0.008680152038389488,0.8649432765054168,-0.015618320130026484,0.01857411211914323,747,249,0.99894466632594,baseline_wage_weight,baseline_within_highE_median,wage,dynamic,other,0.9538819774702559,False
wage_baseline_within_highE_median_adjusted_category_dynamic,mean_log_real_wage_2024,high_c_y2023,0.008924134490591944,0.009893096713105336,0.36790197488005827,-0.01056106793450867,0.028409336915692557,747,249,0.99894466632594,baseline_wage_weight,baseline_within_highE_median,wage,dynamic,primary_adjusted_category,0.36790197488005827,False
wage_baseline_within_highE_median_adjusted_category_dynamic,mean_log_real_wage_2024,high_c_y2024,0.013515130889669977,0.011209197684839748,0.2290753521225873,-0.00856223196707238,0.03559249374641234,747,249,0.99894466632594,baseline_wage_weight,baseline_within_highE_median,wage,dynamic,primary_adjusted_category,0.36790197488005827,False
employment_baseline_within_highE_median_adjusted_category_pooled,log_employment,exposure_z_post,-0.0048469362542059025,0.016345010072764767,0.7670665225977916,-0.037039670151796676,0.02734579764338487,747,249,0.9977340496041662,none,baseline_within_highE_median,employment,pooled,other,0.8231162607833049,False
employment_baseline_within_highE_median_adjusted_category_pooled,log_employment,high_c_post,-0.005245957580271909,0.0199361251305754,0.7926624885156345,-0.044511664265096576,0.03401974910455276,747,249,0.9977340496041662,none,baseline_within_highE_median,employment,pooled,other,0.8231162607833049,False
employment_baseline_within_highE_median_adjusted_category_dynamic,log_employment,exposure_z_y2023,-0.00333311076434238,0.014894890022102798,0.8231162607833049,-0.0326697235153143,0.02600350198662954,747,249,0.9977342450591179,none,baseline_within_highE_median,employment,dynamic,other,0.8231162607833049,False
employment_baseline_within_highE_median_adjusted_category_dynamic,log_employment,exposure_z_y2024,-0.006360761744073906,0.021989849516567593,0.7726248523536761,-0.049671433978806995,0.03694991049065918,747,249,0.9977342450591179,none,baseline_within_highE_median,employment,dynamic,other,0.8231162607833049,False
employment_baseline_within_highE_median_adjusted_category_dynamic,log_employment,high_c_y2023,-0.004507941109242713,0.021395795441259878,0.8332999660729669,-0.04664857890031236,0.037632696681826935,747,249,0.9977342450591179,none,baseline_within_highE_median,employment,dynamic,primary_adjusted_category,0.8332999660729669,False
employment_baseline_within_highE_median_adjusted_category_dynamic,log_employment,high_c_y2024,-0.005983974051342988,0.02380287590198363,0.8017152920800286,-0.05286553891417323,0.04089759081148725,747,249,0.9977342450591179,none,baseline_within_highE_median,employment,dynamic,primary_adjusted_category,0.8332999660729669,False
employment_share_baseline_within_highE_median_adjusted_category_pooled,log_employment_share,exposure_z_post,-0.004846936254172637,0.016345010072764427,0.767066522599339,-0.03703967015176274,0.027345797643417463,747,249,0.997733992517574,none,baseline_within_highE_median,employment_share,pooled,other,0.823116260784652,False
employment_share_baseline_within_highE_median_adjusted_category_pooled,log_employment_share,high_c_post,-0.0052459575802834835,0.019936125130575837,0.7926624885151918,-0.04451166426510901,0.034019749104542044,747,249,0.997733992517574,none,baseline_within_highE_median,employment_share,pooled,other,0.823116260784652,False
employment_share_baseline_within_highE_median_adjusted_category_dynamic,log_employment_share,exposure_z_y2023,-0.0033331107643168392,0.01489489002210402,0.823116260784652,-0.03266972351529117,0.026003501986657487,747,249,0.9977341879774498,none,baseline_within_highE_median,employment_share,dynamic,other,0.823116260784652,False
