robustness,robustness_label,outcome_label,term_label,estimate_se,coefficient,standard_error,p_value,q_value_bh,ci_low,ci_high,occupation_clusters
model_rated_exposure,GPT/model-rated exposure,Real annual wage income,Exposure × 2023,-0.0051 (0.0067),-0.0051030658858944,0.0067017090298992,0.4467450733242398,0.8475121577954916,-0.0182702394114,0.0080641076396111,498
model_rated_exposure,GPT/model-rated exposure,Real annual wage income,Exposure × 2024,-0.0051 (0.0087),-0.0050880605066137,0.0086854565602992,0.5582665531066964,0.8475121577954916,-0.0221527992422824,0.0119766782290548,498
model_rated_exposure,GPT/model-rated exposure,Real annual wage income,Complementarity × 2023,-0.0020 (0.0034),-0.0019666006468494,0.0034153977612234,0.5650081051969944,0.8475121577954916,-0.0086769986632386,0.0047437973695397,498
model_rated_exposure,GPT/model-rated exposure,Real annual wage income,Complementarity × 2024,0.0002 (0.0044),0.0001743582244458,0.004421836006602,0.9685624528665124,0.9685624528665124,-0.0085134379392639,0.0088621543881556,498
model_rated_exposure,GPT/model-rated exposure,Real annual wage income,Exposure × Complementarity × 2023,0.0002 (0.0036),0.0002164543374877,0.0036445484919928,0.952664344605574,0.9685624528665124,-0.0069441672594948,0.0073770759344702,498
model_rated_exposure,GPT/model-rated exposure,Real annual wage income,Exposure × Complementarity × 2024,-0.0037 (0.0050),-0.0036734945428389,0.0049614021831692,0.4593981048913531,0.8475121577954916,-0.0134214026039255,0.0060744135182476,498
model_rated_exposure,GPT/model-rated exposure,Occupational employment,Exposure × 2023,-0.0121 (0.0121),-0.0120697866322797,0.0120867721787698,0.3184770024112898,0.6054480975334569,-0.0358172555138866,0.011677682249327,498
model_rated_exposure,GPT/model-rated exposure,Occupational employment,Exposure × 2024,-0.0151 (0.0154),-0.0150821165440675,0.0153816357832783,0.3273028680469754,0.6054480975334569,-0.0453031641247617,0.0151389310366266,498
model_rated_exposure,GPT/model-rated exposure,Occupational employment,Complementarity × 2023,-0.0054 (0.0081),-0.0053863296797079,0.0080651926956351,0.5045400812778807,0.6054480975334569,-0.0212324058471874,0.0104597464877716,498
model_rated_exposure,GPT/model-rated exposure,Occupational employment,Complementarity × 2024,0.0015 (0.0099),0.0015466179444705,0.0098626342570803,0.8754536168174324,0.8754536168174324,-0.0178309790389553,0.0209242149278964,498
model_rated_exposure,GPT/model-rated exposure,Occupational employment,Exposure × Complementarity × 2023,-0.0123 (0.0080),-0.0123388317129014,0.0080198820472923,0.1245553912452963,0.6054480975334569,-0.0280958838468662,0.0034182204210633,498
model_rated_exposure,GPT/model-rated exposure,Occupational employment,Exposure × Complementarity × 2024,-0.0070 (0.0102),-0.0070206669336084,0.0102431790537836,0.4934115901623814,0.6054480975334569,-0.0271459387787845,0.0131046049115676,498
no_jobzone_complementarity,Complementarity excluding Job Zones,Real annual wage income,Exposure × 2023,0.0003 (0.0059),0.0003129349456915,0.0059184599273442,0.9578532367642708,0.9578532367642708,-0.0113153509914352,0.0119412208828183,498
no_jobzone_complementarity,Complementarity excluding Job Zones,Real annual wage income,Exposure × 2024,-0.0080 (0.0072),-0.0079558397299567,0.0071752764382001,0.2680591416253852,0.6984551181407167,-0.022053454164386,0.0061417747044725,498
