section,term,wage_estimate_se,wage_p_value,wage_q_value,employment_estimate_se,employment_p_value,employment_q_value,occupation_clusters_wage,occupation_clusters_employment
Pooled 2023–2024,Exposure × Post,-0.0025 (0.0062),0.6878711600524706,0.7041954243715027,-0.0129 (0.0115),0.2626258476085439,0.3939387714128158,498,498
Pooled 2023–2024,Complementarity × Post,-0.0013 (0.0035),0.7041954243715027,0.7041954243715027,-0.0024 (0.0079),0.7565416116061036,0.7565416116061036,498,498
Pooled 2023–2024,Exposure × Complementarity × Post,-0.0020 (0.0035),0.5774642655302733,0.7041954243715027,-0.0104 (0.0077),0.1752947478643413,0.3939387714128158,498,498
Year-specific estimates,Exposure × 2023,0.0015 (0.0059),0.797521866232922,0.9570262394795064,-0.0076 (0.0118),0.521598979299804,0.6259187751597648,498,498
Year-specific estimates,Exposure × 2024,-0.0065 (0.0073),0.3759994577895972,0.9570262394795064,-0.0183 (0.0145),0.207103794945365,0.6213113848360952,498,498
Year-specific estimates,Complementarity × 2023,-0.0026 (0.0032),0.4233685469957108,0.9570262394795064,-0.0061 (0.0081),0.4533962807810162,0.6259187751597648,498,498
Year-specific estimates,Complementarity × 2024,-0.0000 (0.0043),0.9926818528307796,0.9926818528307796,0.0012 (0.0098),0.9054584482320236,0.9054584482320236,498,498
Year-specific estimates,Exposure × Complementarity × 2023,-0.0009 (0.0034),0.7869565289477912,0.9570262394795064,-0.0126 (0.0084),0.1375651078649885,0.6213113848360952,498,498
Year-specific estimates,Exposure × Complementarity × 2024,-0.0030 (0.0042),0.4796981561039732,0.9570262394795064,-0.0083 (0.0094),0.3782692335827481,0.6259187751597648,498,498
High-exposure occupation comparison,HEHC − HELC: Post,0.0112 (0.0097),0.2500077420108332,0.953881977470256,-0.0052 (0.0199),0.7926624885156345,0.8231162607833049,249,249
High-exposure occupation comparison,HEHC − HELC: 2023,0.0089 (0.0099),0.3679019748800582,0.3679019748800582,-0.0045 (0.0214),0.8332999660729669,0.8332999660729669,249,249
High-exposure occupation comparison,HEHC − HELC: 2024,0.0135 (0.0112),0.2290753521225873,0.3679019748800582,-0.0060 (0.0238),0.8017152920800286,0.8332999660729669,249,249
