ai_category,category_label,acs_occ_code,acs_occ_title,soc_major,llm_exposure_main,complementarity_theta,m_index,employment_weight,employment_share,mean_real_annual_wage_income_2022_in_2024_usd,rank_within_category,selection_rule
LE,Low exposure,9130,Driver/sales workers and truck drivers,53.0,0.1873219373219372,0.5821759259259259,0.1075950656853434,3524031,0.0242850628929701,56700.493210926645,1,Top 8 occupations by 2022 ACS employment weight within category
LE,Low exposure,9620,"Laborers and freight, stock, and material movers, hand",53.0,0.0408695652173912,0.5745486111111111,0.0234815519323671,2524739,0.0173986680035829,34691.59649163419,2,Top 8 occupations by 2022 ACS employment weight within category
LE,Low exposure,4220,Janitors and building cleaners,37.0,0.0277777777777777,0.5531944444444443,0.0153665123456789,2067984,0.0142510441882196,32883.37393192209,3,Top 8 occupations by 2022 ACS employment weight within category
LE,Low exposure,4020,Cooks,35.0,0.1028288615294059,0.5338194444444445,0.0540430454047514,1990951,0.0137201886850092,23978.38965235571,4,Top 8 occupations by 2022 ACS employment weight within category
LE,Low exposure,4110,Waiters and waitresses,35.0,0.2244897959183673,0.480625,0.1078954081632652,1847204,0.0127295887340792,22870.833203748574,5,Top 8 occupations by 2022 ACS employment weight within category
LE,Low exposure,6260,Construction laborers,47.0,0.025,0.6170138888888889,0.0154253472222222,1758532,0.012118525693815,44876.71103703358,6,Top 8 occupations by 2022 ACS employment weight within category
LE,Low exposure,9645,Stockers and order fillers,53.0,0.1909090909090909,0.5241666666666667,0.1000681818181818,1721314,0.0118620462613836,28886.11543485863,7,Top 8 occupations by 2022 ACS employment weight within category
LE,Low exposure,8990,"Miscellaneous production workers, including equipment operators and tenders",51.0,0.0517105263157894,0.5268055555555555,0.0268953764619882,1375085,0.0094760873863424,46330.27902582748,8,Top 8 occupations by 2022 ACS employment weight within category
HELC,"High exposure, low complementarity",5240,Customer service representatives,43.0,0.7045454545454546,0.4465972222222223,0.314648042929293,3016629,0.0207884167278204,43112.0070700743,1,Top 8 occupations by 2022 ACS employment weight within category
HELC,"High exposure, low complementarity",4720,Cashiers,41.0,0.3349944629014396,0.4828472222222222,0.161333710163652,2894850,0.0199492042821742,19331.83868538204,2,Top 8 occupations by 2022 ACS employment weight within category
HELC,"High exposure, low complementarity",4760,Retail salespersons,41.0,0.3552631578947368,0.5515972222222223,0.1959621710526315,2806357,0.01933937477994,42737.869868342816,3,Top 8 occupations by 2022 ACS employment weight within category
HELC,"High exposure, low complementarity",4700,First-line supervisors of retail sales workers,41.0,0.4054054054054054,0.5890277777777777,0.238795045045045,2786172,0.0192002744160401,67935.08847696966,4,Top 8 occupations by 2022 ACS employment weight within category
HELC,"High exposure, low complementarity",5740,"Secretaries and administrative assistants, except legal, medical, and executive",43.0,0.5673076923076923,0.491111111111111,0.2786111111111111,1906380,0.0131373867590553,44763.15567167305,5,Top 8 occupations by 2022 ACS employment weight within category
HELC,"High exposure, low complementarity",800,Accountants and auditors,13.0,0.52,0.5711111111111111,0.2969777777777778,1614760,0.0111277534610372,102677.14259447833,6,Top 8 occupations by 2022 ACS employment weight within category
HELC,"High exposure, low complementarity",5400,Receptionists and information clerks,43.0,0.5833333333333334,0.4873611111111111,0.2842939814814815,1176896,0.0081103127011325,31910.2952696356,7,Top 8 occupations by 2022 ACS employment weight within category
HELC,"High exposure, low complementarity",5860,"Office clerks, general",43.0,0.5,0.4804166666666666,0.2402083333333333,1164176,0.0080226556969806,38884.09372319016,8,Top 8 occupations by 2022 ACS employment weight within category
HEHC,"High exposure, high complementarity",440,Other managers,11.0,0.4447242052871458,0.671328125,0.2998144145466501,4374737,0.0301475109569704,122895.01457383204,1,Top 8 occupations by 2022 ACS employment weight within category
HEHC,"High exposure, high complementarity",3255,Registered nurses,29.0,0.3349831886777699,0.7112916666666667,0.2382707505799254,3347084,0.0230656726481844,82801.12056925523,2,Top 8 occupations by 2022 ACS employment weight within category
HEHC,"High exposure, high complementarity",2310,Elementary and middle school teachers,25.0,0.3300333994583643,0.6969444444444445,0.2302014514514514,3038636,0.0209400729927867,61617.96058509332,3,Top 8 occupations by 2022 ACS employment weight within category
HEHC,"High exposure, high complementarity",10,Chief executives and legislators,11.0,0.4430555555555555,0.7236458333333333,0.2673469328703703,1431282,0.0098633563063367,221652.3783528088,4,Top 8 occupations by 2022 ACS employment weight within category
HEHC,"High exposure, high complementarity",120,Financial managers,11.0,0.4541306971131532,0.6327777777777778,0.2873638133399341,1407121,0.0096968562373654,131281.40893076413,5,Top 8 occupations by 2022 ACS employment weight within category
HEHC,"High exposure, high complementarity",2545,Teaching assistants,25.0,0.3151515151515151,0.6398611111111111,0.2326767676767676,1340807,0.0092398682992103,27309.13248439855,6,Top 8 occupations by 2022 ACS employment weight within category
HEHC,"High exposure, high complementarity",2205,Postsecondary teachers,25.0,0.4685177744764159,0.6792777777777778,0.3173244315189547,1273587,0.0087766368668916,76235.05859717695,7,Top 8 occupations by 2022 ACS employment weight within category
HEHC,"High exposure, high complementarity",2320,Secondary school teachers,25.0,0.3373015873015873,0.7082638888888888,0.2388142085537918,1263892,0.0087098259663214,68226.90509309288,8,Top 8 occupations by 2022 ACS employment weight within category
